File Date,Investor,Form,Put/Call,Prev Shares,Current Shares,Change (Percent),Prev Value ($K),Current Value ($K),Change (Percent),Cost Basis,Profit,Performance
11/3/17,Breton Hill Capital Ltd.,13F,NaN,1045401,1155344,109943,11698,13829,18.22,1273.117951,857.8820486,7.333578805
11/3/17,Godsey & Gibb Associates,13F,NaN,10481,0,-10481,117,0,-100,0,0,0
11/6/17,Trust Investment Advisors,13F,NaN,87265,0,-87265,976,0,-100,-976,0,0
11/6/17,Qci Asset Management Inc/ny,13F,NaN,300,0,-300,3,0,-100,-3,0,0
11/6/17,Spot Trading L.l.c.,13F,Call,103200,17400,-85800,1155,208,-81.99,-992.95482,45.95482,3.978772294
11/6/17,Spot Trading L.l.c.,13F,Put,6300,3500,-2800,70,42,-40,-32.35568,4.35568,6.2224
11/7/17,Davidson & Garrard Inc,13F,NaN,96035,58044,-37991,1075,695,-35.35,-440.0801458,60.0801458,5.588850772
11/7/17,"Harfst & Associates, Inc.",13F,NaN,540,0,-540,6,0,-100,-6,0,0
11/7/17,"Welch Group, LLC",13F,NaN,50172,0,-50172,561,0,-100,-561,0,0
11/8/17,"Harbour Capital Advisors, LLC",13F,NaN,10775,0,-10775,121,0,-100,-121,0,0
11/8/17,"Blue Rock Advisors, LLC",13F,NaN,71100,0,-71100,796,0,-100,0,0,0
11/9/17,"Capital Planning Advisors, LLC",13F,NaN,13048,0,-13048,146,0,-100,-146,0,0
11/9/17,Iberiabank Corp,13F,NaN,33854,0,-33854,379,0,-100,-379,0,0
11/9/17,"Johnson Financial Group, LLC",13F,NaN,52803,0,-52803,590,0,-100,-590,0,0
11/9/17,Tfs Capital Llc,13F,NaN,33901,0,-33901,379,0,-100,-379,0,0
11/9/17,"K2 Principal Fund, L.p.",13F,Call,285600,0,-285600,3196,0,-100,0,0,0
11/9/17,"Oskie Capital Management, Llc",13F,Call,300000,850000,550000,3357,10175,203.1,6369.165,448.835,13.37012213
11/13/17,"Live Your Vision, LLC",13F,NaN,229,0,-229,2,0,-100,-2,0,0
11/13/17,"FDO Partners, LLC",13F,NaN,418609,0,-418609,4684,0,-100,0,0,0
11/13/17,Invictus RG,13F,NaN,2138,0,-2138,24,0,-100,-24,0,0
11/13/17,Engineers Gate Manager LP,13F,NaN,158166,0,-158166,1770,0,-100,-1770,0,0
11/13/17,Robertson Stephens Advisors Llc,13F,NaN,16106,0,-16106,180,0,-100,0,0,0
11/13/17,"Twin Tree Management, LP",13F,Call,772700,0,-772700,8647,0,-100,-8647,0,0
11/13/17,Grove Bank & Trust,13F,NaN,245,0,-245,3,0,-100,0,0,0
11/13/17,"B. Riley Financial, Inc.",13F,Put,400000,0,-400000,4476,0,-100,-4476,0,0
11/13/17,Spark Investment Management LLC,13F,NaN,18588,0,-18588,207,0,-100,-207,0,0
11/14/17,Allstate Corp,13F,NaN,116740,0,-116740,1306,0,-100,-1306,0,0
11/14/17,Fft Wealth Management Llc,13F,NaN,12500,0,-12500,140,0,-100,0,0,0
11/14/17,"RBF Capital, LLC",13F,NaN,10000,0,-10000,112,0,-100,0,0,0
11/14/17,BancorpSouth Inc,13F,NaN,24518,25383,865,274,304,10.95,10.01324,19.98676,7.294437956
11/14/17,"Alpine Global Management, LLC",13F,NaN,10000,0,-10000,112,0,-100,-112,0,0
11/14/17,"A.R.T. Advisors, LLC",13F,NaN,29300,0,-29300,327,0,-100,-327,0,0
11/14/17,Wealthcare Capital Management Llc,13F,NaN,110,0,-110,1,0,-100,-1,0,0
11/14/17,"Freestone Capital Holdings, LLC",13F,Call,2000,0,-2000,22,0,-100,-22,0,0
11/14/17,"Gotham Asset Management, LLC",13F,NaN,685998,0,-685998,7676,0,-100,-7676,0,0
11/14/17,Thomasville National Bank,13F,NaN,13861,0,-13861,155,0,-100,-155,0,0
11/14/17,Millennium Management Llc,13F,Put,500000,0,-500000,5595,0,-100,-5595,0,0
11/14/17,Scotia Capital Inc.,13F,Call,500000,0,-500000,5605,0,-100,-5605,0,0
11/14/17,"Boothbay Fund Management, Llc",13F,NaN,12604,0,-12604,141,0,-100,-141,0,0
11/14/17,Capital World Investors,13F,NaN,11100000,0,-11100000,124209,0,-100,-124209,0,0
11/14/17,"Sustainable Insight Capital Management, LLC",13F,NaN,28000,0,-28000,313,0,-100,0,0,0
11/14/17,Capital Advisors Inc/ok,13F,NaN,28008,0,-28008,313,0,-100,-313,0,0
11/14/17,"Tide Point Capital Management, Lp",13F,Put,2559500,0,-2559500,28641,0,-100,0,0,0
11/14/17,Affinity Wealth Management Llc,13F,NaN,0,107575,0,0,120,0,0,0,0
11/14/17,"Pacific Alternative Asset Management Company, Llc",13F,NaN,182969,0,-182969,2047,0,-100,0,0,0
11/14/17,Verition Fund Management LLC,13F,Call,50000,0,-50000,560,0,-100,-560,0,0
11/14/17,Cantab Capital Partners LLP,13F,NaN,41780,54321,12541,468,650,38.89,145.2711817,36.7288183,7.848038098
11/14/17,"Point72 Asset Management, L.P.",13F,NaN,450000,0,-450000,5036,0,-100,-5036,0,0
11/14/17,"SECOR Capital Advisors, LP",13F,NaN,17079,0,-17079,191,0,-100,0,0,0
11/15/17,Colony Group Llc,13F,NaN,11144,0,-11144,125,0,-100,-125,0,0
11/15/17,"Narus Financial Partners, LLC",13F,NaN,12055,12289,234,135,147,8.89,2.7097902,9.2902098,6.881636889
11/15/17,"Arbor Wealth Management, LLC",13F,NaN,41158,0,-41158,443,0,-100,-443,0,0
11/16/17,"Moors & Cabot, Inc.",13F,Call,9000,0,-9000,1,0,-100,-1,0,0
11/16/17,Cetera Investment Advisers,13F,Call,2000,0,-2000,2,0,-100,-2,0,0
1/4/18,"Stillwater Investment Management, LLC",13F,NaN,55909,0,-55909,669,0,-100,-669,0,0
1/4/18,"Stillwater Investment Management, LLC",13F,NaN,55909,0,-55909,669,0,-100,-669,0,0
1/5/18,Chickasaw Capital Management Llc,13F,NaN,18295,0,-18295,219,0,-100,-219,0,0
1/5/18,Chickasaw Capital Management Llc,13F,NaN,18295,0,-18295,219,0,-100,-219,0,0
1/10/18,Bath Savings Trust Co,13F,NaN,22992,0,-22992,275,0,-100,-275,0,0
1/10/18,Bath Savings Trust Co,13F,NaN,22992,0,-22992,275,0,-100,-275,0,0
1/11/18,"Kessler Investment Group, LLC",13F,NaN,100,0,-100,1,0,-100,-1,0,0
1/11/18,"Kessler Investment Group, LLC",13F,NaN,100,0,-100,1,0,-100,-1,0,0
1/16/18,"St. Johns Investment Management Company, LLC",13F,Put,1500,0,-1500,0,0,0,0,0,0
1/16/18,"St. Johns Investment Management Company, LLC",13F,Put,1500,0,-1500,0,0,0,0,0,0
1/17/18,"Financial Strategy Network, LLC",13F,NaN,14504,0,-14504,10,0,-100,-10,0,0
1/17/18,Burns J W & Co Inc/ny,13F,NaN,14689,0,-14689,176,0,-100,-176,0,0
1/17/18,Hirtle Callaghan & Co LLC,13F,NaN,1904,0,-1904,23,0,-100,-23,0,0
1/17/18,"CAPROCK Group, Inc.",13F,NaN,33798,0,-33798,405,0,-100,-405,0,0
1/17/18,"Financial Strategy Network, LLC",13F,NaN,14504,0,-14504,10,0,-100,-10,0,0
1/17/18,Burns J W & Co Inc/ny,13F,NaN,14689,0,-14689,176,0,-100,-176,0,0
1/17/18,Hirtle Callaghan & Co LLC,13F,NaN,1904,0,-1904,23,0,-100,-23,0,0
1/17/18,"CAPROCK Group, Inc.",13F,NaN,33798,0,-33798,405,0,-100,-405,0,0
1/19/18,Saratoga Research & Investment Management,13F,NaN,17465,0,-17465,209,0,-100,-209,0,0
1/19/18,Saratoga Research & Investment Management,13F,NaN,17465,0,-17465,209,0,-100,-209,0,0
1/22/18,"Cornerstone Financial Partners, LLC",13F,NaN,0,21379,21379,0,263,0,263,0,0
1/22/18,"Cornerstone Financial Partners, LLC",13F,NaN,0,21379,21379,0,263,0,263,0,0
1/24/18,APG Asset Management N.V.,13F,NaN,834654,0,-834654,9991,0,-100,-9991,0,0
1/24/18,Boston Advisors Llc,13F,NaN,19569,0,-19569,234,0,-100,-234,0,0
1/24/18,"SG3 Management, LLC",13F,Call,0,0,0,0,0,0,0,0,0
1/24/18,Ruggie Capital Group,13F,NaN,500,0,-500,6,0,-100,-6,0,0
1/24/18,APG Asset Management N.V.,13F,NaN,834654,0,-834654,9991,0,-100,-9991,0,0
1/24/18,Boston Advisors Llc,13F,NaN,19569,0,-19569,234,0,-100,-234,0,0
1/24/18,Ruggie Capital Group,13F,NaN,500,0,-500,6,0,-100,-6,0,0
1/25/18,Shine Investment Advisory Services Inc,13F,NaN,700,0,-700,8,0,-100,-8,0,0
1/25/18,Corbenic Partners LLC,13F,NaN,1578,1580,2,19,20,5.26,0.0246988,0.9753012,5.133164211
1/25/18,Shine Investment Advisory Services Inc,13F,NaN,700,0,-700,8,0,-100,-8,0,0
1/25/18,Corbenic Partners LLC,13F,NaN,1578,1580,2,19,20,5.26,0.0246988,0.9753012,5.133164211
1/26/18,Regent Investment Management LLC,13F,NaN,11729,0,-11729,140,0,-100,-140,0,0
1/26/18,Regent Investment Management LLC,13F,NaN,11729,0,-11729,140,0,-100,-140,0,0
1/29/18,"Lakeview Capital Partners, LLC",13F,NaN,12692,0,-12692,152,0,-100,-152,0,0
1/30/18,"Elite Wealth Management, Inc.",13F,NaN,528,0,-528,6,0,-100,-6,0,0
1/30/18,Bedrijfstakpensioenfonds Voor De Media Pno,13F,NaN,200496,0,-200496,2400,0,-100,-2400,0,0
1/30/18,"Bristlecone Advisors, LLC",13F,NaN,30,0,-30,0,0,0,0,0,0
1/30/18,"Elite Wealth Management, Inc.",13F,NaN,528,0,-528,6,0,-100,-6,0,0
1/30/18,Bedrijfstakpensioenfonds Voor De Media Pno,13F,NaN,200496,0,-200496,2400,0,-100,-2400,0,0
1/30/18,"Bristlecone Advisors, LLC",13F,NaN,30,0,-30,0,0,0,0,0,0
2/1/18,Harel Insurance Investments & Financial Services Ltd.,13F,NaN,11000,0,-11000,132,0,-100,-132,0,0
2/1/18,"Northwest Investment Counselors, Llc",13F,NaN,200,0,-200,2,0,-100,-2,0,0
2/1/18,Taylor Wealth Management Partners,13F,NaN,1800,0,-1800,22,0,-100,-22,0,0
2/1/18,Nationwide Fund Advisors,13F,NaN,1102511,0,-1102511,13197,0,-100,-13197,0,0
2/1/18,Quantitative Systematic Strategies LLC,13F,NaN,101110,0,-101110,1210,0,-100,-1210,0,0
2/1/18,Harel Insurance Investments & Financial Services Ltd.,13F,NaN,11000,0,-11000,132,0,-100,-132,0,0
2/1/18,"Northwest Investment Counselors, Llc",13F,NaN,200,0,-200,2,0,-100,-2,0,0
2/1/18,Taylor Wealth Management Partners,13F,NaN,1800,0,-1800,22,0,-100,-22,0,0
2/1/18,Nationwide Fund Advisors,13F,NaN,1102511,0,-1102511,13197,0,-100,-13197,0,0
2/1/18,Quantitative Systematic Strategies LLC,13F,NaN,101110,0,-101110,1210,0,-100,-1210,0,0
2/2/18,Texan Capital Management,13F,NaN,129821,120318,-9503,1554,1503,-3.28,-116.2321433,65.2321433,4.197692619
2/2/18,Rockefeller Financial Services Inc,13F,NaN,916303,937933,21630,10968,11714,6.8,264.524085,481.475915,4.38982417
2/2/18,"Ballentine Partners, LLC",13F,Call,1500,0,-1500,18,0,-100,-18,0,0
2/2/18,Texan Capital Management,13F,NaN,129821,120318,-9503,1554,1503,-3.28,-116.2321433,65.2321433,4.197692619
2/2/18,Rockefeller Financial Services Inc,13F,NaN,916303,937933,21630,10968,11714,6.8,264.524085,481.475915,4.38982417
2/2/18,"Ballentine Partners, LLC",13F,Call,1500,0,-1500,18,0,-100,-18,0,0
2/6/18,"Horan Capital Advisors, LLC.",13F/A,NaN,174,0,-174,2,0,-100,-2,0,0
2/6/18,"Cognios Capital, LLC",13F,NaN,10633,0,-10633,127,0,-100,-127,0,0
2/6/18,"Cognios Capital, LLC",13F,NaN,10633,0,-10633,127,0,-100,-127,0,0
2/7/18,"Ironwood Wealth Management, LLC.",13F,NaN,0,3250,0,0,39,0,0,0,0
2/7/18,"Financial Advisors Network, Inc.",13F,NaN,84805,92911,8106,1015,1160,14.29,99.1112514,45.8887486,4.521058975
2/7/18,"Financial Advantage, Inc.",13F,NaN,235,0,-235,3,0,-100,-3,0,0
2/7/18,"Lubar & Co., Inc",13F,NaN,80000,0,-80000,958,0,-100,-958,0,0
2/7/18,"Financial Advantage, Inc.",13F,NaN,235,0,-235,3,0,-100,-3,0,0
2/7/18,"Lubar & Co., Inc",13F,NaN,80000,0,-80000,958,0,-100,-958,0,0
2/8/18,Trexquant Investment LP,13F,NaN,32719,0,-32719,392,0,-100,-392,0,0
2/8/18,"PineBridge Investments, L.P.",13F,NaN,12870,0,-12870,154,0,-100,-154,0,0
2/8/18,"Girard Securities, Inc.",13F,NaN,24358,0,-24358,290,0,-100,-290,0,0
2/8/18,"PineBridge Investments, L.P.",13F,NaN,12870,0,-12870,154,0,-100,-154,0,0
2/8/18,"Girard Securities, Inc.",13F,NaN,24358,0,-24358,290,0,-100,-290,0,0
2/9/18,Fragasso Group Inc.,13F,NaN,26389,0,-26389,319,0,-100,-319,0,0
2/9/18,"Mountain Capital Investment Advisors, Inc",13F,NaN,1393,0,-1393,17,0,-100,0,0,0
2/9/18,RidgeWorth Capital Management LLC,13F,NaN,4850,4850,0,58,61,5.17,0,3,5.172413793
2/9/18,Comerica Securities Inc,13F,NaN,13894,0,-13894,166,0,-100,-166,0,0
2/9/18,"Alexandria Capital, LLC",13F,NaN,1350,0,-1350,16,0,-100,-16,0,0
2/9/18,Fragasso Group Inc.,13F,NaN,26389,0,-26389,319,0,-100,-319,0,0
2/9/18,"Mountain Capital Investment Advisors, Inc",13F,NaN,1393,0,-1393,17,0,-100,0,0,0
2/9/18,RidgeWorth Capital Management LLC,13F,NaN,4850,4850,0,58,61,5.17,0,3,5.172413793
2/9/18,Comerica Securities Inc,13F,NaN,13894,0,-13894,166,0,-100,-166,0,0
2/9/18,"Alexandria Capital, LLC",13F,NaN,1350,0,-1350,16,0,-100,-16,0,0
2/12/18,Quantbot Technologies LP,13F,NaN,833213,0,-833213,9973,0,-100,-9973,0,0
2/12/18,"Aft, Forsyth & Company, Inc.",13F,NaN,5500,0,-5500,93,0,-100,-93,0,0
2/12/18,Stelac Advisory Services LLC,13F,NaN,107890,0,-107890,1291,0,-100,-1291,0,0
2/12/18,"Hutchin Hill Capital, LP",13F,NaN,70400,11500,-58900,843,144,-82.92,-721.41309,22.41309,2.658729537
2/12/18,"K2 Principal Fund, L.p.",13F,NaN,133374,0,-133374,1596,0,-100,0,0,0
2/12/18,Mirador Capital Partners LP,13F,NaN,22545,0,-22545,273,0,-100,0,0,0
2/12/18,"K2 Principal Fund, L.p.",13F,Put,432000,0,-432000,5171,0,-100,0,0,0
2/12/18,"AlphaStar Capital Management, LLC",13F,NaN,11114,0,-11114,133,0,-100,-133,0,0
2/12/18,Kepos Capital LP,13F,NaN,70808,0,-70808,848,0,-100,0,0,0
2/12/18,"Pettyjohn, Wood & White, Inc",13F,NaN,10919,0,-10919,131,0,-100,-131,0,0
2/12/18,Quantbot Technologies LP,13F,NaN,833213,0,-833213,9973,0,-100,-9973,0,0
2/12/18,"Aft, Forsyth & Company, Inc.",13F,NaN,5500,0,-5500,93,0,-100,-93,0,0
2/12/18,Stelac Advisory Services LLC,13F,NaN,107890,0,-107890,1291,0,-100,-1291,0,0
2/12/18,"Hutchin Hill Capital, LP",13F,NaN,70400,11500,-58900,843,144,-82.92,-721.41309,22.41309,2.658729537
2/12/18,"K2 Principal Fund, L.p.",13F,NaN,133374,0,-133374,1596,0,-100,0,0,0
2/12/18,Mirador Capital Partners LP,13F,NaN,22545,0,-22545,273,0,-100,0,0,0
2/12/18,"K2 Principal Fund, L.p.",13F,Put,432000,0,-432000,5171,0,-100,0,0,0
2/12/18,"AlphaStar Capital Management, LLC",13F,NaN,11114,0,-11114,133,0,-100,-133,0,0
2/12/18,Kepos Capital LP,13F,NaN,70808,0,-70808,848,0,-100,0,0,0
2/12/18,"Pettyjohn, Wood & White, Inc",13F,NaN,10919,0,-10919,131,0,-100,-131,0,0
2/13/18,Calamos Wealth Management LLC,13F,NaN,220653,0,-220653,2641,0,-100,-2641,0,0
2/13/18,Kings Point Capital Management,13F,NaN,6100,0,-6100,73,0,-100,-73,0,0
2/13/18,"Lumbard & Kellner, LLC",13F,NaN,133924,0,-133924,1603,0,-100,-1603,0,0
2/13/18,Marietta Investment Partners Llc,13F,NaN,11100,0,-11100,133,0,-100,-133,0,0
2/13/18,"Freestone Capital Holdings, LLC",13F,Put,2000,0,-2000,24,0,-100,-24,0,0
2/13/18,Nippon Life Insurance Co,13F,NaN,154722,0,-154722,1852,0,-100,-1852,0,0
2/13/18,Bank Of Nova Scotia Trust Co,13F,NaN,699,0,-699,8,0,-100,-8,0,0
2/13/18,Sculptor Capital LP,13F,Call,928100,0,-928100,11110,0,-100,-11110,0,0
2/13/18,Calamos Wealth Management LLC,13F,NaN,220653,0,-220653,2641,0,-100,-2641,0,0
2/13/18,Kings Point Capital Management,13F,NaN,6100,0,-6100,73,0,-100,-73,0,0
2/13/18,"Lumbard & Kellner, LLC",13F,NaN,133924,0,-133924,1603,0,-100,-1603,0,0
2/13/18,Marietta Investment Partners Llc,13F,NaN,11100,0,-11100,133,0,-100,-133,0,0
2/13/18,"Freestone Capital Holdings, LLC",13F,Put,2000,0,-2000,24,0,-100,-24,0,0
2/13/18,Nippon Life Insurance Co,13F,NaN,154722,0,-154722,1852,0,-100,-1852,0,0
2/13/18,Bank Of Nova Scotia Trust Co,13F,NaN,699,0,-699,8,0,-100,-8,0,0
2/13/18,Sculptor Capital LP,13F,Call,928100,0,-928100,11110,0,-100,-11110,0,0
2/14/18,Numeric Investors Llc,13F,NaN,0,948000,948000,0,11841,0,11841,0,0
2/14/18,AHL Partners LLP,13F,NaN,903681,559744,-343937,10817,6992,-35.36,-4206.590266,381.5902659,3.527690357
2/14/18,"Alyeska Investment Group, L.P.",13F,NaN,6409840,0,-6409840,76726,0,-100,-76726,0,0
2/14/18,Capital Guardian Trust Co,13F,NaN,333,0,-333,4,0,-100,-4,0,0
2/14/18,Schonfeld Strategic Advisors LLC,13F,Put,625000,0,-625000,152,0,-100,-152,0,0
2/14/18,Cornerstone Capital Management Holdings Llc.,13F,NaN,803509,1125662,322153,9617,14058,46.18,3939.512391,501.4876089,5.214595081
2/14/18,CMT Asset Management Ltd,13F,Put,220000,0,-220000,2633,0,-100,-2633,0,0
2/14/18,CMT Asset Management Ltd,13F,Call,164600,0,-164600,1970,0,-100,-1970,0,0
2/14/18,Weiss Multi-Strategy Advisers LLC,13F,NaN,25000,0,-25000,299,0,-100,-299,0,0
2/14/18,Folger Hill Asset Management LP,13F,NaN,41900,0,-41900,502,0,-100,0,0,0
2/14/18,"Perigon Wealth Management, LLC",13F,NaN,1375,0,-1375,16,0,-100,-16,0,0
2/14/18,"Capstone Investment Advisors, Llc",13F,Put,50000,0,-50000,598,0,-100,-598,0,0
2/14/18,"Capstone Investment Advisors, Llc",13F,Call,45000,0,-45000,537,0,-100,-537,0,0
2/14/18,"Capstone Investment Advisors, Llc",13F,NaN,5100,0,-5100,61,0,-100,-61,0,0
2/14/18,National Planning Corp,13F,NaN,121274,0,-121274,1452,0,-100,-1452,0,0
2/14/18,"Nikko Asset Management Americas, Inc.",13F,NaN,10800,0,-10800,129,0,-100,-129,0,0
2/14/18,"Point72 Asset Management, L.P.",13F,Put,600000,0,-600000,7182,0,-100,-7182,0,0
2/14/18,Trust Co Of Virginia /va,13F,NaN,290208,0,-290208,3474,0,-100,-3474,0,0
2/14/18,"Wealthshield, Llc",13F,NaN,0,11402,0,0,144,0,0,0,0
2/14/18,Millennium Management Llc,13F,Call,500000,0,-500000,5985,0,-100,-5985,0,0
2/14/18,"Tiedemann Advisors, Llc",13F,NaN,13812,0,-13812,167,0,-100,0,0,0
2/14/18,Glg Llc,13F,NaN,172050,172050,0,2059,2149,4.37,0,90,4.37105391
2/14/18,Balyasny Asset Management Llc,13F,Put,150000,0,-150000,1796,0,-100,-1796,0,0
2/14/18,Zions Bancorporation,13F,NaN,12509,0,-12509,149,0,-100,-149,0,0
2/14/18,"Prelude Capital Management, Llc",13F,NaN,2054,0,-2054,25,0,-100,-25,0,0
2/14/18,"Blue Granite Capital, LLC",13F,NaN,225739,37750,-187989,2702,467,-82.72,-2287.863728,52.8637278,1.95646661
2/14/18,Investment Centers Of America Inc,13F,NaN,112768,0,-112768,1351,0,-100,-1351,0,0
2/14/18,Janney Capital Management LLC,13F,NaN,12533,0,-12533,150,0,-100,-150,0,0
2/14/18,Whitebox Advisors Llc,13F,Put,720000,0,-720000,8618,0,-100,-8618,0,0
2/14/18,BlueCrest Capital Management Ltd,13F,Call,500000,0,-500000,5985,0,-100,-5985,0,0
2/14/18,Verition Fund Management LLC,13F,Put,150000,0,-150000,1796,0,-100,-1796,0,0
2/14/18,Verition Fund Management LLC,13F,NaN,128433,0,-128433,1537,0,-100,-1537,0,0
2/14/18,"Baker Avenue Asset Management, LP",13F,NaN,13491,0,-13491,161,0,-100,-161,0,0
2/14/18,Caxton Associates Lp,13F,NaN,46000,0,-46000,551,0,-100,-551,0,0
2/14/18,"Scopus Asset Management, L.p.",13F,Call,300000,0,-300000,3591,0,-100,-3591,0,0
2/14/18,Numeric Investors Llc,13F,NaN,0,948000,948000,0,11841,0,11841,0,0
2/14/18,AHL Partners LLP,13F,NaN,903681,559744,-343937,10817,6992,-35.36,-4206.590266,381.5902659,3.527690357
2/14/18,"Alyeska Investment Group, L.P.",13F,NaN,6409840,0,-6409840,76726,0,-100,-76726,0,0
2/14/18,Capital Guardian Trust Co,13F,NaN,333,0,-333,4,0,-100,-4,0,0
2/14/18,Schonfeld Strategic Advisors LLC,13F,Put,625000,0,-625000,152,0,-100,-152,0,0
2/14/18,Cornerstone Capital Management Holdings Llc.,13F,NaN,803509,1125662,322153,9617,14058,46.18,3939.512391,501.4876089,5.214595081
2/14/18,CMT Asset Management Ltd,13F,Put,220000,0,-220000,2633,0,-100,-2633,0,0
2/14/18,CMT Asset Management Ltd,13F,Call,164600,0,-164600,1970,0,-100,-1970,0,0
2/14/18,Weiss Multi-Strategy Advisers LLC,13F,NaN,25000,0,-25000,299,0,-100,-299,0,0
2/14/18,Folger Hill Asset Management LP,13F,NaN,41900,0,-41900,502,0,-100,0,0,0
2/14/18,"Perigon Wealth Management, LLC",13F,NaN,1375,0,-1375,16,0,-100,-16,0,0
2/14/18,"Capstone Investment Advisors, Llc",13F,NaN,5100,0,-5100,61,0,-100,-61,0,0
2/14/18,National Planning Corp,13F,NaN,121274,0,-121274,1452,0,-100,-1452,0,0
2/14/18,"Nikko Asset Management Americas, Inc.",13F,NaN,10800,0,-10800,129,0,-100,-129,0,0
2/14/18,"Point72 Asset Management, L.P.",13F,Put,600000,0,-600000,7182,0,-100,-7182,0,0
2/14/18,Trust Co Of Virginia /va,13F,NaN,290208,0,-290208,3474,0,-100,-3474,0,0
2/14/18,"Wealthshield, Llc",13F,NaN,0,11402,0,0,144,0,0,0,0
2/14/18,"Tiedemann Advisors, Llc",13F,NaN,13812,0,-13812,167,0,-100,0,0,0
2/14/18,Glg Llc,13F,NaN,172050,172050,0,2059,2149,4.37,0,90,4.37105391
2/14/18,Zions Bancorporation,13F,NaN,12509,0,-12509,149,0,-100,-149,0,0
2/14/18,"Prelude Capital Management, Llc",13F,NaN,2054,0,-2054,25,0,-100,-25,0,0
2/14/18,"Blue Granite Capital, LLC",13F,NaN,225739,37750,-187989,2702,467,-82.72,-2287.863728,52.8637278,1.95646661
2/14/18,Investment Centers Of America Inc,13F,NaN,112768,0,-112768,1351,0,-100,-1351,0,0
2/14/18,Janney Capital Management LLC,13F,NaN,12533,0,-12533,150,0,-100,-150,0,0
2/14/18,Whitebox Advisors Llc,13F,Put,720000,0,-720000,8618,0,-100,-8618,0,0
2/14/18,BlueCrest Capital Management Ltd,13F,Call,500000,0,-500000,5985,0,-100,-5985,0,0
2/14/18,Verition Fund Management LLC,13F,Put,150000,0,-150000,1796,0,-100,-1796,0,0
2/14/18,"Baker Avenue Asset Management, LP",13F,NaN,13491,0,-13491,161,0,-100,-161,0,0
2/14/18,Caxton Associates Lp,13F,NaN,46000,0,-46000,551,0,-100,-551,0,0
2/14/18,"Scopus Asset Management, L.p.",13F,Call,300000,0,-300000,3591,0,-100,-3591,0,0
2/15/18,"Bb&t Investment Services, Inc.",13F,NaN,51953,50696,-1257,624,629,0.8,-15.3468387,20.3468387,3.26071133
2/15/18,"Bb&t Investment Services, Inc.",13F,NaN,51953,50696,-1257,624,629,0.8,-15.3468387,20.3468387,3.26071133
2/16/18,"Commonwealth Equity Services, Inc",13F/A,NaN,2043992,2009585,-34407,22872,24055,5.17,-398.43306,1581.43306,6.914275359
3/16/18,"Aurora Financial Advisors, Llc",13F,NaN,0,55009,0,0,687,0,0,0,0
